,0,1,2,3
57,"{'f': 'stellard', 'v': 'stellard-Stellar'}",Stellar,8.503401360544217,48430
58,"{'f': 'js-xdr', 'v': 'js-xdr-Stellar'}",Stellar,1.3605442176870748,788
59,"{'f': 'xdrgen', 'v': 'xdrgen-Stellar'}",Stellar,2.380952380952381,197
60,"{'f': 'stellar-core', 'v': 'stellar-core-Stellar'}",Stellar,9.523809523809524,14594
61,"{'f': 'stellar-client', 'v': 'stellar-client-Stellar'}",Stellar,6.802721088435375,4907
62,"{'f': 'stories', 'v': 'stories-Stellar'}",Stellar,1.3605442176870748,8279
63,"{'f': 'Skuchain', 'v': 'Skuchain'}",BlockchainProjects,0,202072
64,"{'f': 'TuxedoPops', 'v': 'TuxedoPops-Skuchain'}",Skuchain,14.814814814814813,28155
65,"{'f': 'kevlar', 'v': 'kevlar-Skuchain'}",Skuchain,14.814814814814813,18748
66,"{'f': 'asn1.js', 'v': 'asn1.js-Skuchain'}",Skuchain,55.55555555555556,217
67,"{'f': 'utxo', 'v': 'utxo-Skuchain'}",Skuchain,3.7037037037037033,79
68,"{'f': 'bitcore-lib', 'v': 'bitcore-lib-Skuchain'}",Skuchain,3.7037037037037033,1030
69,"{'f': 'vend', 'v': 'vend-Skuchain'}",Skuchain,3.7037037037037033,9870
70,"{'f': 'kevlar-EVM', 'v': 'kevlar-EVM-Skuchain'}",Skuchain,3.7037037037037033,9
71,"{'f': 'Ripple', 'v': 'Ripple'}",BlockchainProjects,0,6304985
72,"{'f': 'simulator', 'v': 'simulator-Ripple'}",Ripple,1.5444015444015444,161
73,"{'f': 'ripple-demurrage-tool', 'v': 'ripple-demurrage-tool-Ripple'}",Ripple,0.3861003861003861,548
74,"{'f': 'x-address-codec', 'v': 'x-address-codec-Ripple'}",Ripple,0.7722007722007722,243
75,"{'f': 'passport-ripple', 'v': 'passport-ripple-Ripple'}",Ripple,0.7722007722007722,6
76,"{'f': 'bower-ripple', 'v': 'bower-ripple-Ripple'}",Ripple,0.3861003861003861,13251
77,"{'f': 'ripple-authd', 'v': 'ripple-authd-Ripple'}",Ripple,1.1583011583011582,283
78,"{'f': 'rippled', 'v': 'rippled-Ripple'}",Ripple,10.038610038610038,93413
79,"{'f': 'validator-registry-api', 'v': 'validator-registry-api-Ripple'}",Ripple,0.7722007722007722,513
80,"{'f': 'javascript-style-guide', 'v': 'javascript-style-guide-Ripple'}",Ripple,10.81081081081081,175
81,"{'f': 'ripple-lib-cli', 'v': 'ripple-lib-cli-Ripple'}",Ripple,0.3861003861003861,174
82,"{'f': 'ripple-client', 'v': 'ripple-client-Ripple'}",Ripple,10.038610038610038,23021
83,"{'f': 'ripplecharts-frontend', 'v': 'ripplecharts-frontend-Ripple'}",Ripple,2.3166023166023164,5355
84,"{'f': 'ripple-domain-verifier', 'v': 'ripple-domain-verifier-Ripple'}",Ripple,1.5444015444015444,25
85,"{'f': 'docker-fdb-server', 'v': 'docker-fdb-server-Ripple'}",Ripple,0.7722007722007722,132
